ID,Title,Attachments,Automation Candidate,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Is Automated,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Type,Updated By,Updated On,is_converted
,TC-HU01-A-CA01-01 - Inicio de sesión con credenciales válidas redirige al panel administrativo,,,None,,,,"El sistema autentica las credenciales y redirige al panel administrativo, mostrando los módulos de gestión disponibles para el rol Administrador.",,,No,"Positivo, Sprint 1",,Existe una cuenta de Administrador registrada y activa.; El sistema web se encuentra disponible y operativo.; El usuario se encuentra en la pantalla de inicio de sesión.,Critical,CA-HU01-01,CA-HU01-A-01: Credenciales válidas redirigen al panel administrativo,2,"Dado que soy un Administrador registrado, cuando ingreso credenciales válidas, entonces el sistema autentica mi sesión y me redirige al panel administrativo correspondiente.",Test Cases > HU01-A - Inicio de Sesión Administrador > CA-HU01-A-01: Credenciales válidas redirigen al panel administrativo,"1. Acceder a la pantalla de inicio de sesión.
2. Ingresar el correo electrónico válido del Administrador.
3. Ingresar la contraseña válida.
4. Presionar el botón «Iniciar sesión».",,,"El sistema autentica las credenciales y redirige al panel administrativo, mostrando los módulos de gestión disponibles para el rol Administrador.",,,,Master,,Functional,,,0
,TC-HU01-A-CA01-02 - Inicio de sesión con correo que contiene espacios se normaliza y autentica,,,None,,,,"El sistema normaliza el correo (elimina espacios), autentica la sesión y redirige al panel administrativo.",,,No,"Alternativo, Sprint 1",,Existe una cuenta de Administrador con correo registrado.; El sistema web se encuentra disponible y operativo.,Medium,CA-HU01-01,CA-HU01-A-01: Credenciales válidas redirigen al panel administrativo,2,"Dado que soy un Administrador registrado, cuando ingreso credenciales válidas, entonces el sistema autentica mi sesión y me redirige al panel administrativo correspondiente.",Test Cases > HU01-A - Inicio de Sesión Administrador > CA-HU01-A-01: Credenciales válidas redirigen al panel administrativo,"1. Acceder a la pantalla de inicio de sesión.
2. Ingresar el correo del Administrador anteponiendo y agregando espacios en blanco.
3. Ingresar la contraseña válida.
4. Presionar «Iniciar sesión».",,,"El sistema normaliza el correo (elimina espacios), autentica la sesión y redirige al panel administrativo.",,,,Master,,Functional,,,0
,TC-HU01-A-CA01-03 - Administrador es dirigido específicamente al panel de su rol,,,None,,,,"El usuario es dirigido especificamente al panel administrativo (no al panel de Recepcionista ni de Cliente), confirmando la redireccion por rol.",,,No,"Alternativo, Sprint 1",,Existe una cuenta de Administrador válida.; El sistema web se encuentra disponible y operativo.,Medium,CA-HU01-01,CA-HU01-A-01: Credenciales válidas redirigen al panel administrativo,2,"Dado que soy un Administrador registrado, cuando ingreso credenciales válidas, entonces el sistema autentica mi sesión y me redirige al panel administrativo correspondiente.",Test Cases > HU01-A - Inicio de Sesión Administrador > CA-HU01-A-01: Credenciales válidas redirigen al panel administrativo,"1. Iniciar sesión con credenciales válidas de Administrador.
2. Verificar la pantalla a la que es redirigido el usuario.",,,"El usuario es dirigido especificamente al panel administrativo (no al panel de Recepcionista ni de Cliente), confirmando la redireccion por rol.",,,,Master,,Functional,,,0
,TC-HU01-A-CA02-01 - Inicio de sesión con contraseña incorrecta muestra mensaje genérico,,,None,,,,"El sistema rechaza el acceso y muestra un mensaje genérico de credenciales no válidas, sin indicar cual de los dos campos es incorrecto.",,,No,"Negativo, Sprint 1",,Existe una cuenta de Administrador registrada.; El sistema web se encuentra disponible y operativo.,Medium,CA-HU01-02,CA-HU01-A-02: Credenciales incorrectas muestran mensaje genérico,2,"Dado que soy un usuario del sistema, cuando introduzco un correo electrónico o contraseña incorrectos, entonces el sistema muestra un mensaje genérico indicando que las credenciales no son válidas, sin revelar si el correo electrónico existe o no.",Test Cases > HU01-A - Inicio de Sesión Administrador > CA-HU01-A-02: Credenciales incorrectas muestran mensaje genérico,"1. Acceder a la pantalla de inicio de sesión.
2. Ingresar un correo de Administrador válido.
3. Ingresar una contraseña incorrecta.
4. Presionar «Iniciar sesión».",,,"El sistema rechaza el acceso y muestra un mensaje genérico de credenciales no válidas, sin indicar cual de los dos campos es incorrecto.",,,,Master,,Functional,,,0
,TC-HU01-A-CA02-02 - Inicio de sesión con correo inexistente no revela su inexistencia,,,None,,,,"El sistema muestra el mismo mensaje genérico, sin revelar que el correo no existe.",,,No,"Negativo, Sprint 1",,El sistema web se encuentra disponible y operativo.,Medium,CA-HU01-02,CA-HU01-A-02: Credenciales incorrectas muestran mensaje genérico,2,"Dado que soy un usuario del sistema, cuando introduzco un correo electrónico o contraseña incorrectos, entonces el sistema muestra un mensaje genérico indicando que las credenciales no son válidas, sin revelar si el correo electrónico existe o no.",Test Cases > HU01-A - Inicio de Sesión Administrador > CA-HU01-A-02: Credenciales incorrectas muestran mensaje genérico,"1. Acceder a la pantalla de inicio de sesión.
2. Ingresar un correo no registrado en el sistema.
3. Ingresar cualquier contraseña.
4. Presionar «Iniciar sesión».",,,"El sistema muestra el mismo mensaje genérico, sin revelar que el correo no existe.",,,,Master,,Functional,,,0
,TC-HU01-A-CA02-03 - Mensaje de error idéntico evita la enumeración de usuarios,,,None,,,,"Ambos mensajes son identicos, confirmando que el sistema no permite enumerar usuarios válidos.",,,No,"Alternativo, Sprint 1",,Existe una cuenta de Administrador registrada.; El sistema web se encuentra disponible y operativo.,Medium,CA-HU01-02,CA-HU01-A-02: Credenciales incorrectas muestran mensaje genérico,2,"Dado que soy un usuario del sistema, cuando introduzco un correo electrónico o contraseña incorrectos, entonces el sistema muestra un mensaje genérico indicando que las credenciales no son válidas, sin revelar si el correo electrónico existe o no.",Test Cases > HU01-A - Inicio de Sesión Administrador > CA-HU01-A-02: Credenciales incorrectas muestran mensaje genérico,"1. Registrar el mensaje obtenido con correo válido + contraseña incorrecta.
2. Registrar el mensaje obtenido con correo inexistente + contraseña cualquiera.
3. Comparar ambos mensajes.",,,"Ambos mensajes son identicos, confirmando que el sistema no permite enumerar usuarios válidos.",,,,Master,,Functional,,,0
,TC-HU01-A-CA03-01 - Inicio de sesión con ambos campos vacíos solicita completarlos,,,None,,,,El sistema no procesa la solicitud y solicita completar los campos obligatorios.,,,No,"Negativo, Sprint 1",,El sistema web se encuentra disponible y operativo.; El usuario se encuentra en el formulario de inicio de sesión.,Medium,CA-HU01-03,CA-HU01-A-03: Campos vacíos solicitan completar la información,2,"Dado que me encuentro en el formulario de inicio de sesión, cuando intento iniciar sesión dejando campos vacíos, entonces el sistema solicita completar los campos obligatorios antes de continuar.",Test Cases > HU01-A - Inicio de Sesión Administrador > CA-HU01-A-03: Campos vacíos solicitan completar la información,"1. Dejar vacíos los campos de correo y contraseña.
2. Presionar «Iniciar sesión».",,,El sistema no procesa la solicitud y solicita completar los campos obligatorios.,,,,Master,,Functional,,,0
,TC-HU01-A-CA03-02 - Inicio de sesión sin correo indica que el campo es obligatorio,,,None,,,,El sistema impide continuar e indica que el campo correo es obligatorio.,,,No,"Negativo, Sprint 1",,El sistema web se encuentra disponible y operativo.,Medium,CA-HU01-03,CA-HU01-A-03: Campos vacíos solicitan completar la información,2,"Dado que me encuentro en el formulario de inicio de sesión, cuando intento iniciar sesión dejando campos vacíos, entonces el sistema solicita completar los campos obligatorios antes de continuar.",Test Cases > HU01-A - Inicio de Sesión Administrador > CA-HU01-A-03: Campos vacíos solicitan completar la información,"1. Ingresar únicamente la contraseña y dejar vacío el correo.
2. Presionar «Iniciar sesión».",,,El sistema impide continuar e indica que el campo correo es obligatorio.,,,,Master,,Functional,,,0
,TC-HU01-A-CA03-03 - Inicio de sesión sin contraseña indica que el campo es obligatorio,,,None,,,,El sistema impide continuar e indica que el campo contraseña es obligatorio.,,,No,"Negativo, Sprint 1",,El sistema web se encuentra disponible y operativo.,Medium,CA-HU01-03,CA-HU01-A-03: Campos vacíos solicitan completar la información,2,"Dado que me encuentro en el formulario de inicio de sesión, cuando intento iniciar sesión dejando campos vacíos, entonces el sistema solicita completar los campos obligatorios antes de continuar.",Test Cases > HU01-A - Inicio de Sesión Administrador > CA-HU01-A-03: Campos vacíos solicitan completar la información,"1. Ingresar únicamente el correo y dejar vacia la contraseña.
2. Presionar «Iniciar sesión».",,,El sistema impide continuar e indica que el campo contraseña es obligatorio.,,,,Master,,Functional,,,0
,TC-HU01-B-CA01-01 - Inicio de sesión con credenciales válidas redirige al panel del recepcionista,,,None,,,,El sistema autentica la sesión y redirige al panel del Recepcionista con las opciones de gestión de reservas y atencion al cliente.,,,No,"Positivo, Sprint 1",,Existe una cuenta de Recepcionista registrada y activa.; El sistema web se encuentra disponible y operativo.,Critical,CA-HU01-B-01,CA-HU01-B-01: Credenciales válidas redirigen al panel del recepcionista,2,"Dado que soy un Recepcionista registrado, cuando ingreso credenciales válidas, entonces el sistema autentica mi sesión y me redirige al panel correspondiente.",Test Cases > HU01-B - Inicio de Sesión Recepcionista > CA-HU01-B-01: Credenciales válidas redirigen al panel del recepcionista,"1. Acceder a la pantalla de inicio de sesión.
2. Ingresar correo y contraseña válidos del Recepcionista.
3. Presionar «Iniciar sesión».",,,El sistema autentica la sesión y redirige al panel del Recepcionista con las opciones de gestión de reservas y atencion al cliente.,,,,Master,,Functional,,,0
